Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known,Tranco
https://bhg.com,239,added,bhg.com,null,null,null,null,null,null,null,null,None,None,None,441
https://law.com,242,added,law.com,null,null,null,null,null,null,null,null,None,None,None,450
https://subway.com,243,not added,null,null,null,null,null,null,null,null,null,None,None,None,451
https://oreillyauto.com,244,added,oreillyauto.com,null,null,null,null,null,null,null,null,None,None,None,453
https://sohh.com,245,not added,null,null,null,null,null,null,null,null,null,None,None,None,454
https://infowars.com,246,added,infowars.com,null,null,null,null,null,null,null,null,None,None,None,456
https://manta.com,247,added,manta.com,null,null,null,null,null,null,null,null,None,None,None,458
https://rs-stripe.broadwayworld.com,249,redirected,broadwayworld.com,null,null,null,null,null,null,null,null,None,None,None,463
https://vividseats.com,251,added,vividseats.com,null,null,null,null,null,null,null,null,None,None,None,466
https://autodiscover.justanswer.com,253,not added,null,null,null,null,null,null,null,null,null,None,None,None,470
https://carid.com,254,added,carid.com,null,null,null,null,null,null,null,null,None,None,None,472
https://clevelandclinic.org,255,added,clevelandclinic.org,null,null,null,null,null,null,null,null,None,None,None,473
https://zazzle.com,256,added,zazzle.com,null,null,null,null,null,null,null,null,None,None,None,476
https://reverb.com,258,added,reverb.com,null,null,null,null,null,null,null,null,None,None,None,478
https://ew.com,261,added,ew.com,null,null,null,null,null,null,null,null,None,None,None,483
https://salary.com,262,added,salary.com,null,null,null,null,null,null,null,null,None,None,None,486
https://teespring.com,263,added,teespring.com,null,null,null,null,null,null,null,null,None,None,None,489
https://campingworld.com,266,added,campingworld.com,null,null,null,null,null,null,null,null,None,None,None,494
https://michaels.com,270,added,michaels.com,null,null,null,null,null,null,null,null,None,None,None,501
https://weedmaps.com,271,added,weedmaps.com,null,null,null,null,null,null,null,null,None,None,None,503
https://hsn.com,275,added,hsn.com,null,null,null,null,null,null,null,null,None,None,None,512
https://directv.com,276,added,directv.com,null,null,null,null,null,null,null,null,None,None,None,513
https://synchronycredit.com,277,not added,null,null,null,null,null,null,null,null,null,None,None,None,514
https://petco.com,281,added,petco.com,null,null,null,null,null,null,null,null,None,None,None,521
https://instacart.com,285,added,instacart.com,null,null,null,null,null,null,null,null,None,None,None,530
https://carvana.com,287,added,carvana.com,null,null,null,null,null,null,null,null,None,None,None,534
https://theadvocate.com,291,added,theadvocate.com,null,null,null,null,null,null,null,null,None,None,None,544
https://thedelite.com,295,added,thedelite.com,null,null,null,null,null,null,null,null,None,None,None,553
https://shape.com,296,added,shape.com,null,null,null,null,null,null,null,null,None,None,None,555
https://carmax.com,299,added,carmax.com,null,null,null,null,null,null,null,null,None,None,None,559
https://zmenu.com,300,added,zmenu.com,null,null,null,null,null,null,null,null,None,None,None,563
https://marketing.sfgate.com,301,redirected,sfgate.com,null,null,null,null,null,null,null,null,None,None,None,564
https://change.org,302,added,change.org,null,null,null,null,null,null,null,null,None,None,None,568
https://lotterypost.com,304,added,lotterypost.com,null,null,null,null,null,null,null,null,None,None,None,571
https://grunge.com,306,added,grunge.com,null,null,null,null,null,null,null,null,None,None,None,576
https://thefreedictionary.com,307,added,thefreedictionary.com,null,null,null,null,null,null,null,null,None,None,None,577
https://kirklands.com,312,added,kirklands.com,null,null,null,null,null,null,null,null,None,None,None,584
https://landwatch.com,313,added,landwatch.com,null,null,null,null,null,null,null,null,None,None,None,590
https://basspro.com,314,added,basspro.com,null,null,null,null,null,null,null,null,None,None,None,591
https://shoecarnival.com,316,not added,null,null,null,null,null,null,null,null,null,None,None,None,594
https://xbox.com,318,added,xbox.com,null,null,null,null,null,null,null,null,None,None,None,603
https://maurices.com,320,not added,null,null,null,null,null,null,null,null,null,None,None,None,608
https://dmv.org,321,added,dmv.org,null,null,null,null,null,null,null,null,None,None,None,610
https://creditonebank.com,324,added,creditonebank.com,null,null,null,null,null,null,null,null,None,None,None,620
https://tcgplayer.com,327,added,tcgplayer.com,null,null,null,null,null,null,null,null,None,None,None,627
https://creditkarma.com,333,added,creditkarma.com,null,null,null,null,null,null,null,null,None,None,None,639
https://ae.com,335,added,ae.com,null,null,null,null,null,null,null,null,None,None,None,641
https://citi.com,337,added,citi.com,null,null,null,null,null,null,null,null,None,None,None,645
https://ring.com,338,added,ring.com,null,null,null,null,null,null,null,null,None,None,None,647
https://marketing.eventful.com,339,redirected,eventful.com,null,null,null,null,null,null,null,null,None,None,None,648
https://teacherspayteachers.com,341,added,teacherspayteachers.com,null,null,null,null,null,null,null,null,None,None,None,653
https://nflshop.com,347,added,nflshop.com,null,null,null,null,null,null,null,null,None,None,None,662
https://cameo.com,349,added,cameo.com,null,null,null,null,null,null,null,null,None,None,None,667
https://tailgating.publix.com,355,redirected,publix.com,null,null,null,null,null,null,null,null,None,None,None,678
https://classiccars.com,356,added,classiccars.com,null,null,null,null,null,null,null,null,None,None,None,679
https://smetrics.nadaguides.com,359,redirected,nadaguides.com,null,null,null,null,null,null,null,null,None,None,None,686
https://liquor.com,361,added,liquor.com,null,null,null,null,null,null,null,null,None,None,None,688
https://tripadvisor.com,364,added,tripadvisor.com,null,null,null,null,null,null,null,null,None,None,None,693
https://uhc.com,365,added,uhc.com,null,null,null,null,null,null,null,null,None,None,None,694
https://distractify.com,366,added,distractify.com,null,null,null,null,null,null,null,null,None,None,None,697
https://ihg.com,367,added,ihg.com,null,null,null,null,null,null,null,null,None,None,None,700
https://thredup.com,368,added,thredup.com,null,null,null,null,null,null,null,null,None,None,None,701
https://bestbuy.com,369,added,bestbuy.com,null,null,null,null,null,null,null,null,None,None,None,704
https://careers.cardinalcommerce.com,371,redirected,visa.com,null,null,null,null,null,null,null,null,None,None,None,708
https://yardbarker.com,372,added,yardbarker.com,null,null,null,null,null,null,null,null,None,None,None,710
https://6pm.com,375,added,6pm.com,null,null,null,null,null,null,null,null,None,None,None,715
https://newegg.com,376,added,newegg.com,null,null,null,null,null,null,null,null,None,None,None,718
https://trulia.com,379,added,trulia.com,null,null,null,null,null,null,null,null,None,None,None,728
https://toyota.com,380,added,toyota.com,null,null,null,null,null,null,null,null,None,None,None,729
https://windows.net,381,not added,null,null,null,null,null,null,null,null,null,None,None,None,731
https://jetblue.com,382,added,jetblue.com,null,null,null,null,null,null,null,null,None,None,None,733
https://box.com,383,added,box.com,null,null,null,null,null,null,null,null,None,None,None,734
https://webstaurantstore.com,384,added,webstaurantstore.com,null,null,null,null,null,null,null,null,None,None,None,738
https://cinemark.com,385,added,cinemark.com,null,null,null,null,null,null,null,null,None,None,None,739
https://choicehotels.com,389,added,choicehotels.com,null,null,null,null,no_gpc,no_gpc,null,null,None,None,None,748
https://boscovs.com,390,added,boscovs.com,null,null,null,null,null,null,null,null,None,None,None,751
https://wizards.com,393,added,wizards.com,null,null,null,null,null,null,null,null,None,None,None,754
https://ancestry.com,394,added,ancestry.com,null,null,null,null,null,null,null,null,None,None,None,757
https://guitarcenter.com,395,added,guitarcenter.com,null,null,null,null,null,null,null,null,None,None,None,759
https://video.androidauthority.com,396,redirected,androidauthority.com,null,null,null,null,null,null,null,null,None,None,None,760
https://office.com,397,added,office.com,null,null,null,null,null,null,null,null,None,None,None,761
https://grainger.com,399,added,grainger.com,null,null,null,null,null,null,null,null,None,None,None,764
https://tripstodiscover.com,400,redirected,holidays.com,null,null,null,null,null,null,null,null,None,None,None,765
https://movoto.com,401,added,movoto.com,null,null,null,null,null,null,null,null,None,None,None,766
https://blackboard.com,404,not added,null,null,null,null,null,null,null,null,null,None,None,None,773
https://nation.com,406,added,nation.com,null,null,null,null,null,null,null,null,None,None,None,777
https://blog.4chan.org,407,redirected,4chan.org,null,null,null,null,null,null,null,null,None,None,None,780
https://kay.com,408,added,kay.com,null,null,null,null,null,null,null,null,None,None,None,781
https://dollargeneral.com,409,added,dollargeneral.com,null,null,null,null,null,null,null,null,None,None,None,782
https://abc12.com,410,added,abc12.com,null,null,null,null,null,null,null,null,None,None,None,783
https://songmeanings.com,412,added,songmeanings.com,null,null,null,null,null,null,null,null,None,None,None,786
https://boardgamegeek.com,415,added,boardgamegeek.com,null,null,null,null,null,null,null,null,None,None,None,792
https://wearemitu.com,416,added,wearemitu.com,null,null,null,null,null,null,null,null,None,None,None,793
https://chase.com,417,added,chase.com,null,null,null,null,null,null,null,null,None,None,None,794
https://historydaily.org,418,redirected,facebook.com,null,null,null,null,null,null,null,null,None,None,None,795
https://smartasset.com,421,added,smartasset.com,null,null,null,null,null,null,null,null,None,None,None,801
https://worldmarket.com,422,added,worldmarket.com,null,null,null,null,null,null,null,null,None,None,None,804
https://metv.com,423,added,metv.com,null,null,null,null,null,null,null,null,None,None,None,811
https://office365.com,425,redirected,microsoft.com,null,null,null,null,null,null,null,null,None,None,None,816
https://canon.com,426,not added,null,null,null,null,null,null,null,null,null,None,None,None,818
https://nycgo.com,428,not added,null,null,null,null,null,null,null,null,null,None,None,None,821
https://nj.com,429,added,nj.com,null,null,null,null,null,null,null,null,None,None,None,823
https://tjx.com,430,added,tjx.com,null,null,null,null,null,null,null,null,None,None,None,826
https://foodandwine.com,432,added,foodandwine.com,null,null,null,null,null,null,null,null,None,None,None,828
https://minecraft.net,436,added,minecraft.net,null,null,null,null,null,null,null,null,None,None,None,835
https://motorola.com,438,added,motorola.com,null,null,null,null,null,null,null,null,None,None,None,838
https://flyfrontier.com,439,added,flyfrontier.com,null,null,null,null,null,null,null,null,None,None,None,839
https://snapchat.com,445,added,snapchat.com,null,null,null,null,null,null,null,null,None,None,None,851
https://pastemagazine.com,446,added,pastemagazine.com,null,null,null,null,null,null,null,null,None,None,None,852
https://officedepot.com,453,not added,null,null,null,null,null,null,null,null,null,None,None,None,865
https://blog.wikimedia.org,455,redirected,wikimedia.org,null,null,null,null,null,null,null,null,None,None,None,869
https://mrctv.org,456,added,mrctv.org,null,null,null,null,null,null,null,null,None,None,None,871
https://underarmour.com,457,added,underarmour.com,null,null,null,null,null,null,null,null,None,None,None,873
https://georgetakei.com,459,added,georgetakei.com,null,null,null,null,null,null,null,null,None,None,None,875
https://lumenlearning.com,461,added,lumenlearning.com,null,null,null,null,null,null,null,null,None,None,None,879
https://go.hotwire.com,462,not added,null,null,null,null,null,null,null,null,null,None,None,None,880
https://meijer.com,464,added,meijer.com,null,null,null,null,null,null,null,null,None,None,None,883
https://southernliving.com,469,added,southernliving.com,null,null,null,null,null,null,null,null,None,None,None,890
https://hayneedle.com,470,redirected,walmart.com,null,null,null,null,null,null,null,null,None,None,None,892
https://sherwin-williams.com,472,added,sherwin-williams.com,null,null,null,null,null,null,null,null,None,None,None,895
https://morego.spirit.com,474,redirected,tumblr.com,null,null,null,null,null,null,null,null,None,None,None,899
https://autodiscover.duluthtrading.com,475,not added,null,null,null,null,null,null,null,null,null,None,None,None,900
https://womanwithin.com,478,added,womanwithin.com,null,null,null,null,null,null,null,null,None,None,None,904
https://storymaps.arcgis.com,480,redirected,arcgis.com,null,null,null,null,null,null,null,null,None,None,None,908
