Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://carmax.com,299,added,carmax.com,null,null,null,null,null,null,null,null,None,None,None
https://marketing.sfgate.com,301,added,sfgate.com,null,null,null,null,null,null,null,null,None,None,None
https://change.org,302,added,change.org,null,null,null,null,null,null,null,null,None,None,None
https://lotterypost.com,304,added,lotterypost.com,null,null,null,null,null,null,null,null,None,None,None
https://grunge.com,306,added,grunge.com,null,null,null,null,null,null,null,null,None,None,None
https://thefreedictionary.com,307,added,thefreedictionary.com,null,null,null,null,null,null,null,null,None,None,None
https://kirklands.com,312,added,kirklands.com,null,null,null,null,null,null,null,null,None,None,None
https://landwatch.com,313,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://basspro.com,314,added,basspro.com,null,null,null,null,null,null,null,null,None,None,None
https://shoecarnival.com,316,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://xbox.com,318,added,xbox.com,null,null,null,null,null,null,null,null,None,None,None
https://maurices.com,320,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://dmv.org,321,added,dmv.org,null,null,null,null,null,null,null,null,None,None,None
https://creditonebank.com,324,added,creditonebank.com,null,null,null,null,null,null,null,null,None,None,None
https://regmovies.com,326,added,regmovies.com,null,null,null,null,null,null,null,null,None,None,None
https://tcgplayer.com,327,added,tcgplayer.com,null,null,null,null,null,null,null,null,None,None,None
https://creditkarma.com,333,added,creditkarma.com,null,null,null,null,null,null,null,null,None,None,None
https://ae.com,335,added,ae.com,null,null,null,null,null,null,null,null,None,None,None
https://citi.com,337,added,citi.com,null,null,null,null,null,null,null,null,None,None,None
https://ring.com,338,added,ring.com,null,null,null,null,null,null,null,null,None,None,None
https://marketing.eventful.com,339,added,eventful.com,null,null,null,null,null,null,null,null,None,None,None
https://teacherspayteachers.com,341,added,teacherspayteachers.com,null,null,null,null,null,null,null,null,None,None,None
https://nflshop.com,347,added,nflshop.com,null,null,null,null,null,null,null,null,None,None,None
https://reviewjournal.com,348,added,reviewjournal.com,null,null,null,null,null,null,null,null,None,None,None
https://cameo.com,349,added,cameo.com,null,null,null,null,null,null,null,null,None,None,None
https://macys.com,354,added,macys.com,null,null,null,null,null,null,null,null,None,None,None
https://tailgating.publix.com,355,added,publix.com,null,null,null,null,null,null,null,null,None,None,None
https://smetrics.nadaguides.com,359,added,nadaguides.com,null,null,null,null,null,null,null,null,None,None,None
https://liquor.com,361,added,liquor.com,null,null,null,null,null,null,null,null,None,None,None
https://uhc.com,365,added,uhc.com,null,null,null,null,null,null,null,null,None,None,None
https://ihg.com,367,added,ihg.com,null,null,null,null,null,null,null,null,None,None,None
https://thredup.com,368,added,thredup.com,null,null,null,null,null,null,null,null,None,None,None
https://bestbuy.com,369,added,bestbuy.com,null,null,null,null,null,null,null,null,None,None,None
https://careers.cardinalcommerce.com,371,redirected,visa.com,null,null,null,null,null,null,null,null,None,None,None
https://yardbarker.com,372,added,yardbarker.com,null,null,null,null,null,null,null,null,None,None,None
https://nolo.com,373,added,nolo.com,null,null,null,null,null,null,null,null,None,None,None
https://6pm.com,375,added,6pm.com,null,null,null,null,null,null,null,null,None,None,None
https://trulia.com,379,added,trulia.com,null,null,null,null,null,null,null,null,None,None,None
https://toyota.com,380,added,toyota.com,null,null,null,null,null,null,null,null,None,None,None
https://windows.net,381,not added,null,null,null,null,null,null,null,null,null,None,None,None
